Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52508_091_S65_L001_R1_001	171219	36504	131948	 2767	0.21	0.77	0.02	0.306	0.060	0.167
CAT_52508_101_S66_L001_R1_001	119743	26313	 90744	 2686	0.22	0.76	0.02	0.220	0.032	0.000
CAT_52508_105_S67_L001_R1_001	126998	25121	 67987	33890	0.20	0.54	0.27	0.784	0.110	0.091
CAT_52508_106_S68_L001_R1_001	115419	26834	 70657	17928	0.23	0.61	0.16	0.752	0.114	0.070
CAT_52508_111_S69_L001_R1_001	103048	23613	 76045	 3390	0.23	0.74	0.03	0.200	0.032	0.000
CAT_52508_114_S70_L001_R1_001	144564	33466	109380	 1718	0.23	0.76	0.01	0.108	0.024	0.083
CAT_52508_115_S71_L001_R1_001	121138	27769	 87818	 5551	0.23	0.72	0.05	0.424	0.072	0.000
CAT_52508_117_S72_L001_R1_001	140676	31052	108388	 1236	0.22	0.77	0.01	0.128	0.018	0.111
CAT_52508_119_S73_L001_R1_001	142573	27081	 99672	15820	0.19	0.70	0.11	0.720	0.116	0.017
CAT_52508_129_S75_L001_R1_001	156461	37221	111479	 7761	0.24	0.71	0.05	0.512	0.088	0.045
CAT_52508_131_S76_L001_R1_001	151535	28284	113378	 9873	0.19	0.75	0.07	0.570	0.088	0.068
CAT_52508_134_S77_L001_R1_001	104323	22928	 76810	 4585	0.22	0.74	0.04	0.346	0.050	0.000
CAT_52508_135_S78_L001_R1_001	 87664	22216	 64436	 1012	0.25	0.74	0.01	0.064	0.014	0.143
CAT_52508_139_S79_L001_R1_001	126663	28355	 89031	 9277	0.22	0.70	0.07	0.648	0.096	0.000
CAT_52508_143_S80_L001_R1_001	107479	19200	 79495	 8784	0.18	0.74	0.08	0.538	0.090	0.089
CAT_52508_145_S81_L001_R1_001	132418	 8889	 89322	34207	0.07	0.67	0.26	0.604	0.100	0.200
CAT_52508_156_S83_L001_R1_001	165835	33435	104294	28106	0.20	0.63	0.17	0.790	0.136	0.088
CAT_52508_157_S84_L001_R1_001	296726	32289	196096	68341	0.11	0.66	0.23	0.784	0.120	0.150
CAT_52508_158_S85_L001_R1_001	141338	31298	102077	 7963	0.22	0.72	0.06	0.456	0.054	0.111
CAT_52508_167_S86_L001_R1_001	135183	29739	103500	 1944	0.22	0.77	0.01	0.024	0.000	  NaN
CAT_52508_168_S87_L001_R1_001	 98183	22436	 74163	 1584	0.23	0.76	0.02	0.136	0.028	0.071
CAT_52508_173_S88_L001_R1_001	119240	23222	 87347	 8671	0.19	0.73	0.07	0.654	0.098	0.000
CAT_52508_176_S90_L001_R1_001	 83349	18418	 53473	11458	0.22	0.64	0.14	0.650	0.086	0.093
CAT_52508_179_S91_L001_R1_001	109797	24351	 80321	 5125	0.22	0.73	0.05	0.414	0.058	0.034
CAT_52508_182_S92_L001_R1_001	145959	24296	114634	 7029	0.17	0.79	0.05	0.296	0.056	0.107
CAT_52508_183_S93_L001_R1_001	 99326	21840	 65239	12247	0.22	0.66	0.12	0.650	0.098	0.082
CAT_52508_189_S94_L001_R1_001	109191	17783	 77639	13769	0.16	0.71	0.13	0.584	0.084	0.024
CAT_52508_201_S95_L001_R1_001	129386	24252	102335	 2799	0.19	0.79	0.02	0.150	0.024	0.250
