Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7691	1978	678	0.34
Tpa_7703	17122	2144	0.13
Tpa_7757	2948	3	0.00
Tpa_7764	5969	546	0.09
Tpa_7765	10426	160	0.02
Tpa_7769	8	4	0.50
Tpa_7772	36	0	0.00
Tpa_7798	564	391	0.69
Tpa_7799	1071	94	0.09
Tpa_7805	174	75	0.43
Tpa_7807	3794	47	0.01
Tpa_7814	2775	214	0.08
Tpa_7825	928	879	0.95
Tpa_7848	3591	183	0.05
Tpa_7910	4467	430	0.10
