Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
52	90768-179_S52_L001_R1_001	404622	45389	78346	280887	0.11	0.19	0.69	0.905	0.122	0.293
53	90768-183_S53_L001_R1_001	113689	37271	59459	16959	0.33	0.52	0.15	0.811	0.12	0.053
54	90768-184_S54_L001_R1_001	102074	35681	52336	14057	0.35	0.51	0.14	0.834	0.185	0.057
55	90768-185_S55_L001_R1_001	94199	36746	56479	974	0.39	0.6	0.01	0.242	0.053	0
56	90768-186_S56_L001_R1_001	107380	38524	61051	7805	0.36	0.57	0.07	0.739	0.105	0.12
57	90768-187_S57_L001_R1_001	135534	39078	71307	25149	0.29	0.53	0.19	0.838	0.143	0.118
58	90768-189_S58_L001_R1_001	101984	32822	49291	19871	0.32	0.48	0.19	0.821	0.134	0.094
59	90768-191_S59_L001_R1_001	84219	32267	47790	4162	0.38	0.57	0.05	0.609	0.092	0.023
60	90768-194_S60_L001_R1_001	97654	36779	53765	7110	0.38	0.55	0.07	0.704	0.179	0.2
61	90768-195_S61_L001_R1_001	2329890	71484	190409	2067997	0.03	0.08	0.89	0.975	0.141	0.507
62	90768-196_S62_L001_R1_001	245486	28353	53081	164052	0.12	0.22	0.67	0.899	0.139	0.212
63	90768-199_S63_L001_R1_001	81156	32062	46819	2275	0.4	0.58	0.03	0.456	0.082	0
64	90768-200_S64_L001_R1_001	99173	31530	50244	17399	0.32	0.51	0.18	0.828	0.134	0.125
65	90768-204_S65_L001_R1_001	116434	30183	48756	37495	0.26	0.42	0.32	0.872	0.17	0.086
66	90768-206_S66_L001_R1_001	193395	42797	70359	80239	0.22	0.36	0.41	0.924	0.155	0.23
67	90768-207_S67_L001_R1_001	150434	40099	64301	46034	0.27	0.43	0.31	0.908	0.113	0.093
68	90768-211_S68_L001_R1_001	87512	32187	47155	8170	0.37	0.54	0.09	0.765	0.111	0.038
69	90768-216_S69_L001_R1_001	173660	34919	54117	84624	0.2	0.31	0.49	0.903	0.153	0.164
70	90768-217_S70_L001_R1_001	169756	40142	62015	67599	0.24	0.37	0.4	0.908	0.143	0.235
71	90768-218_S71_L001_R1_001	115815	40120	60198	15497	0.35	0.52	0.13	0.832	0.143	0.074
72	90768-219_S72_L001_R1_001	169710	42662	75590	51458	0.25	0.45	0.3	0.861	0.113	0.13
73	90768-220_S73_L001_R1_001	96630	25860	45158	25612	0.27	0.47	0.27	0.855	0.128	0.033
74	90768-221_S74_L001_R1_001	191460	29957	54731	106772	0.16	0.29	0.56	0.901	0.101	0.229
75	90768-223_S75_L001_R1_001	152760	45932	80405	26423	0.3	0.53	0.17	0.878	0.12	0.053
76	90768-234_S76_L001_R1_001	159285	42696	68464	48125	0.27	0.43	0.3	0.891	0.122	0.138
77	90768-235_S77_L001_R1_001	194623	36078	62013	96532	0.19	0.32	0.5	0.899	0.088	0.19
78	90768-236_S78_L001_R1_001	88712	30875	45507	12330	0.35	0.51	0.14	0.788	0.103	0.082
79	90768-237_S79_L001_R1_001	79539	31337	42154	6048	0.39	0.53	0.08	0.662	0.097	0.022
80	90768-238_S80_L001_R1_001	176550	51974	102359	22217	0.29	0.58	0.13	0.855	0.141	0.104
81	90768-240_S81_L001_R1_001	110266	30831	48231	31204	0.28	0.44	0.28	0.866	0.132	0.095
82	90768-244_S82_L001_R1_001	99114	35421	51145	12548	0.36	0.52	0.13	0.727	0.103	0.061
83	90768-245_S83_L001_R1_001	143320	42133	70901	30286	0.29	0.49	0.21	0.79	0.128	0.098
84	90768-258_S84_L001_R1_001	159712	39578	67598	52536	0.25	0.42	0.33	0.887	0.124	0.186
85	90768-260_S85_L001_R1_001	69286	26468	37990	4828	0.38	0.55	0.07	0.508	0.097	0.022
86	90768-263_S86_L001_R1_001	72668	26109	43622	2937	0.36	0.6	0.04	0.498	0.074	0.029
87	90768-265_S87_L001_R1_001	78742	24499	32455	21788	0.31	0.41	0.28	0.836	0.122	0.052
88	90768-280_S88_L001_R1_001	87009	35357	49981	1671	0.41	0.57	0.02	0.37	0.055	0
89	90768-283_S89_L001_R1_001	116709	34680	53640	28389	0.3	0.46	0.24	0.83	0.113	0.13
90	90768-284_S90_L001_R1_001	88799	34356	52753	1690	0.39	0.59	0.02	0.33	0.059	0.036
91	90768-292_S91_L001_R1_001	155082	51771	100496	2815	0.33	0.65	0.02	0.5	0.09	0.093
92	90768-296_S92_L001_R1_001	212601	58909	117830	35862	0.28	0.55	0.17	0.817	0.12	0.175
93	90768-299_S93_L001_R1_001	106048	37757	58548	9743	0.36	0.55	0.09	0.784	0.137	0.031
94	90768-301_S94_L001_R1_001	82235	28751	42505	10979	0.35	0.52	0.13	0.773	0.122	0.034
95	90768-308_S95_L001_R1_001	129100	36627	53080	39393	0.28	0.41	0.31	0.889	0.176	0.083
