Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_6963	1894	1769	0.93
Tpa_6973	5367	2409	0.45
Tpa_7007	1448	82	0.06
Tpa_7010	2314	1826	0.79
Tpa_7018	833	297	0.36
Tpa_7052	2452	2400	0.98
Tpa_7058	8128	676	0.08
Tpa_7062	1612	1069	0.66
Tpa_7080	1434	1358	0.95
Tpa_7082	489	479	0.98
Tpa_7090	1773	1157	0.65
Tpa_7153	264	78	0.30
Tpa_7157	1140	693	0.61
Tpa_7201	22159	3155	0.14
Tpa_7204	3098	685	0.22
Tpa_7210	12105	529	0.04
Tpa_7213	8813	6092	0.69
Tpa_7221	12775	428	0.03
Tpa_7240	15040	1313	0.09
Tpa_7289	5422	374	0.07
Tpa_7291	92050	172	0.00
Tpa_7293	2517	55	0.02
Tpa_7331	7971	4	0.00
Tpa_7348	173956	641	0.00
Tpa_7352	388	2	0.01
Tpa_7367	3226	1957	0.61
Tpa_7375	4062	1221	0.30
Tpa_7406	280	2	0.01
Tpa_7413	1073	990	0.92
Tpa_7417	647	622	0.96
Tpa_7425	34145	1367	0.04
Tpa_7447	6383	31	0.00
Tpa_7450	7355	0	0.00
Tpa_7452	10808	3044	0.28
Tpa_7454	5331	548	0.10
Tpa_7461	10270	673	0.07
Tpa_7477	943	751	0.80
Tpa_7479	6412	3350	0.52
Tpa_7483	5442	2356	0.43
Tpa_7495	2490	1482	0.60
Tpa_7533	3393	2960	0.87
Tpa_7540	4489	692	0.15
Tpa_7553	3026	2464	0.81
Tpa_7560	6279	1162	0.19
Tpa_7566	6004	5844	0.97
Tpa_7567	12904	5490	0.43
Tpa_7571	14110	3324	0.24
Tpa_7586	8698	7659	0.88
Tpa_7594	84601	43359	0.51
Tpa_7597	19186	18703	0.97
Tpa_7601	78913	0	0.00
Tpa_7604	57887	11910	0.21
Tpa_7605	42411	1659	0.04
Tpa_7615	734	657	0.90
Tpa_7652	62206	14841	0.24
Tpa_7653	26402	17130	0.65
Tpa_7657	3461	2122	0.61
Tpa_7665	43	1	0.02
Tpa_7686	20716	18810	0.91
Tpa_7690	10176	8212	0.81
Tpa_7691	4336	364	0.08
Tpa_7703	96500	3066	0.03
Tpa_7757	18185	3	0.00
Tpa_7764	21240	1575	0.07
