"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"237" "90768_015_S9_L001_R1_001" "90768_077_S26_L001_R1_001" 12 20 0.6 0.0420168067226891 476
"238" "90768_015_S9_L001_R1_001" "90768_078_S27_L001_R1_001" 85 118 0.720338983050847 0.247899159663866 476
"239" "90768_015_S9_L001_R1_001" "90768_083_S28_L001_R1_001" 5 9 0.555555555555556 0.0189075630252101 476
"240" "90768_015_S9_L001_R1_001" "90768_084_S29_L001_R1_001" 17 25 0.68 0.0525210084033613 476
"241" "90768_015_S9_L001_R1_001" "90768_088_S30_L001_R1_001" 13 17 0.764705882352941 0.0357142857142857 476
"242" "90768_015_S9_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"243" "90768_015_S9_L001_R1_001" "90768_104_S32_L001_R1_001" 5 6 0.833333333333333 0.0126050420168067 476
"244" "90768_018_S10_L001_R1_001" "90768_027_S11_L001_R1_001" 17 19 0.894736842105263 0.0399159663865546 476
"245" "90768_018_S10_L001_R1_001" "90768_029_S12_L001_R1_001" 15 20 0.75 0.0420168067226891 476
"246" "90768_018_S10_L001_R1_001" "90768_034_S13_L001_R1_001" 4 5 0.8 0.0105042016806723 476
"247" "90768_018_S10_L001_R1_001" "90768_040_S14_L001_R1_001" 14 18 0.777777777777778 0.0378151260504202 476
"248" "90768_018_S10_L001_R1_001" "90768_042_S15_L001_R1_001" 13 18 0.722222222222222 0.0378151260504202 476
"249" "90768_018_S10_L001_R1_001" "90768_044_S16_L001_R1_001" 17 20 0.85 0.0420168067226891 476
"250" "90768_018_S10_L001_R1_001" "90768_054_S17_L001_R1_001" 10 13 0.769230769230769 0.0273109243697479 476
"251" "90768_018_S10_L001_R1_001" "90768_055_S18_L001_R1_001" 14 20 0.7 0.0420168067226891 476
"252" "90768_018_S10_L001_R1_001" "90768_056_S19_L001_R1_001" 6 9 0.666666666666667 0.0189075630252101 476
"253" "90768_018_S10_L001_R1_001" "90768_057_S20_L001_R1_001" 11 16 0.6875 0.0336134453781513 476
"254" "90768_018_S10_L001_R1_001" "90768_061_S21_L001_R1_001" 8 10 0.8 0.0210084033613445 476
"255" "90768_018_S10_L001_R1_001" "90768_064_S22_L001_R1_001" 10 13 0.769230769230769 0.0273109243697479 476
"256" "90768_018_S10_L001_R1_001" "90768_067_S23_L001_R1_001" 12 16 0.75 0.0336134453781513 476
"257" "90768_018_S10_L001_R1_001" "90768_075_S24_L001_R1_001" 15 20 0.75 0.0420168067226891 476
"258" "90768_018_S10_L001_R1_001" "90768_076_S25_L001_R1_001" 14 17 0.823529411764706 0.0357142857142857 476
"259" "90768_018_S10_L001_R1_001" "90768_077_S26_L001_R1_001" 10 12 0.833333333333333 0.0252100840336134 476
"260" "90768_018_S10_L001_R1_001" "90768_078_S27_L001_R1_001" 15 21 0.714285714285714 0.0441176470588235 476
"261" "90768_018_S10_L001_R1_001" "90768_083_S28_L001_R1_001" 4 7 0.571428571428571 0.0147058823529412 476
"262" "90768_018_S10_L001_R1_001" "90768_084_S29_L001_R1_001" 6 9 0.666666666666667 0.0189075630252101 476
"263" "90768_018_S10_L001_R1_001" "90768_088_S30_L001_R1_001" 3 7 0.428571428571429 0.0147058823529412 476
"264" "90768_018_S10_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"265" "90768_018_S10_L001_R1_001" "90768_104_S32_L001_R1_001" 4 5 0.8 0.0105042016806723 476
"266" "90768_027_S11_L001_R1_001" "90768_029_S12_L001_R1_001" 55 79 0.69620253164557 0.165966386554622 476
"267" "90768_027_S11_L001_R1_001" "90768_034_S13_L001_R1_001" 7 7 1 0.0147058823529412 476
"268" "90768_027_S11_L001_R1_001" "90768_040_S14_L001_R1_001" 55 76 0.723684210526316 0.159663865546218 476
"269" "90768_027_S11_L001_R1_001" "90768_042_S15_L001_R1_001" 58 89 0.651685393258427 0.186974789915966 476
"270" "90768_027_S11_L001_R1_001" "90768_044_S16_L001_R1_001" 84 124 0.67741935483871 0.260504201680672 476
"271" "90768_027_S11_L001_R1_001" "90768_054_S17_L001_R1_001" 26 43 0.604651162790698 0.0903361344537815 476
"272" "90768_027_S11_L001_R1_001" "90768_055_S18_L001_R1_001" 83 120 0.691666666666667 0.252100840336134 476
"273" "90768_027_S11_L001_R1_001" "90768_056_S19_L001_R1_001" 8 10 0.8 0.0210084033613445 476
"274" "90768_027_S11_L001_R1_001" "90768_057_S20_L001_R1_001" 38 54 0.703703703703704 0.113445378151261 476
"275" "90768_027_S11_L001_R1_001" "90768_061_S21_L001_R1_001" 8 12 0.666666666666667 0.0252100840336134 476
"276" "90768_027_S11_L001_R1_001" "90768_064_S22_L001_R1_001" 19 28 0.678571428571429 0.0588235294117647 476
"277" "90768_027_S11_L001_R1_001" "90768_067_S23_L001_R1_001" 40 53 0.754716981132076 0.111344537815126 476
"278" "90768_027_S11_L001_R1_001" "90768_075_S24_L001_R1_001" 83 112 0.741071428571429 0.235294117647059 476
"279" "90768_027_S11_L001_R1_001" "90768_076_S25_L001_R1_001" 41 60 0.683333333333333 0.126050420168067 476
"280" "90768_027_S11_L001_R1_001" "90768_077_S26_L001_R1_001" 12 16 0.75 0.0336134453781513 476
"281" "90768_027_S11_L001_R1_001" "90768_078_S27_L001_R1_001" 71 94 0.75531914893617 0.197478991596639 476
"282" "90768_027_S11_L001_R1_001" "90768_083_S28_L001_R1_001" 10 12 0.833333333333333 0.0252100840336134 476
"283" "90768_027_S11_L001_R1_001" "90768_084_S29_L001_R1_001" 20 26 0.769230769230769 0.0546218487394958 476
"284" "90768_027_S11_L001_R1_001" "90768_088_S30_L001_R1_001" 9 15 0.6 0.0315126050420168 476
"285" "90768_027_S11_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"286" "90768_027_S11_L001_R1_001" "90768_104_S32_L001_R1_001" 6 7 0.857142857142857 0.0147058823529412 476
"287" "90768_029_S12_L001_R1_001" "90768_034_S13_L001_R1_001" 6 7 0.857142857142857 0.0147058823529412 476
"288" "90768_029_S12_L001_R1_001" "90768_040_S14_L001_R1_001" 73 98 0.744897959183674 0.205882352941176 476
"289" "90768_029_S12_L001_R1_001" "90768_042_S15_L001_R1_001" 68 95 0.715789473684211 0.199579831932773 476
"290" "90768_029_S12_L001_R1_001" "90768_044_S16_L001_R1_001" 95 142 0.669014084507042 0.298319327731092 476
"291" "90768_029_S12_L001_R1_001" "90768_054_S17_L001_R1_001" 40 57 0.701754385964912 0.119747899159664 476
"292" "90768_029_S12_L001_R1_001" "90768_055_S18_L001_R1_001" 94 130 0.723076923076923 0.273109243697479 476
"293" "90768_029_S12_L001_R1_001" "90768_056_S19_L001_R1_001" 7 9 0.777777777777778 0.0189075630252101 476
"294" "90768_029_S12_L001_R1_001" "90768_057_S20_L001_R1_001" 43 63 0.682539682539683 0.132352941176471 476
"295" "90768_029_S12_L001_R1_001" "90768_061_S21_L001_R1_001" 11 13 0.846153846153846 0.0273109243697479 476
"296" "90768_029_S12_L001_R1_001" "90768_064_S22_L001_R1_001" 23 33 0.696969696969697 0.069327731092437 476
"297" "90768_029_S12_L001_R1_001" "90768_067_S23_L001_R1_001" 41 56 0.732142857142857 0.117647058823529 476
"298" "90768_029_S12_L001_R1_001" "90768_075_S24_L001_R1_001" 81 121 0.669421487603306 0.254201680672269 476
"299" "90768_029_S12_L001_R1_001" "90768_076_S25_L001_R1_001" 48 74 0.648648648648649 0.15546218487395 476
"300" "90768_029_S12_L001_R1_001" "90768_077_S26_L001_R1_001" 13 21 0.619047619047619 0.0441176470588235 476
"301" "90768_029_S12_L001_R1_001" "90768_078_S27_L001_R1_001" 76 106 0.716981132075472 0.222689075630252 476
"302" "90768_029_S12_L001_R1_001" "90768_083_S28_L001_R1_001" 6 11 0.545454545454545 0.023109243697479 476
"303" "90768_029_S12_L001_R1_001" "90768_084_S29_L001_R1_001" 15 23 0.652173913043478 0.0483193277310924 476
"304" "90768_029_S12_L001_R1_001" "90768_088_S30_L001_R1_001" 9 17 0.529411764705882 0.0357142857142857 476
"305" "90768_029_S12_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"306" "90768_029_S12_L001_R1_001" "90768_104_S32_L001_R1_001" 2 6 0.333333333333333 0.0126050420168067 476
"307" "90768_034_S13_L001_R1_001" "90768_040_S14_L001_R1_001" 5 6 0.833333333333333 0.0126050420168067 476
"308" "90768_034_S13_L001_R1_001" "90768_042_S15_L001_R1_001" 6 8 0.75 0.0168067226890756 476
"309" "90768_034_S13_L001_R1_001" "90768_044_S16_L001_R1_001" 8 8 1 0.0168067226890756 476
"310" "90768_034_S13_L001_R1_001" "90768_054_S17_L001_R1_001" 4 5 0.8 0.0105042016806723 476
"311" "90768_034_S13_L001_R1_001" "90768_055_S18_L001_R1_001" 8 8 1 0.0168067226890756 476
"312" "90768_034_S13_L001_R1_001" "90768_056_S19_L001_R1_001" 4 4 1 0.00840336134453781 476
"313" "90768_034_S13_L001_R1_001" "90768_057_S20_L001_R1_001" 4 7 0.571428571428571 0.0147058823529412 476
"314" "90768_034_S13_L001_R1_001" "90768_061_S21_L001_R1_001" 3 5 0.6 0.0105042016806723 476
"315" "90768_034_S13_L001_R1_001" "90768_064_S22_L001_R1_001" 5 6 0.833333333333333 0.0126050420168067 476
"316" "90768_034_S13_L001_R1_001" "90768_067_S23_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"317" "90768_034_S13_L001_R1_001" "90768_075_S24_L001_R1_001" 7 8 0.875 0.0168067226890756 476
"318" "90768_034_S13_L001_R1_001" "90768_076_S25_L001_R1_001" 5 5 1 0.0105042016806723 476
"319" "90768_034_S13_L001_R1_001" "90768_077_S26_L001_R1_001" 5 5 1 0.0105042016806723 476
"320" "90768_034_S13_L001_R1_001" "90768_078_S27_L001_R1_001" 7 8 0.875 0.0168067226890756 476
"321" "90768_034_S13_L001_R1_001" "90768_083_S28_L001_R1_001" 3 4 0.75 0.00840336134453781 476
"322" "90768_034_S13_L001_R1_001" "90768_084_S29_L001_R1_001" 6 6 1 0.0126050420168067 476
"323" "90768_034_S13_L001_R1_001" "90768_088_S30_L001_R1_001" 4 5 0.8 0.0105042016806723 476
"324" "90768_034_S13_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"325" "90768_034_S13_L001_R1_001" "90768_104_S32_L001_R1_001" 3 3 1 0.00630252100840336 476
"326" "90768_040_S14_L001_R1_001" "90768_042_S15_L001_R1_001" 72 102 0.705882352941177 0.214285714285714 476
"327" "90768_040_S14_L001_R1_001" "90768_044_S16_L001_R1_001" 112 154 0.727272727272727 0.323529411764706 476
"328" "90768_040_S14_L001_R1_001" "90768_054_S17_L001_R1_001" 42 55 0.763636363636364 0.115546218487395 476
"329" "90768_040_S14_L001_R1_001" "90768_055_S18_L001_R1_001" 105 141 0.74468085106383 0.296218487394958 476
"330" "90768_040_S14_L001_R1_001" "90768_056_S19_L001_R1_001" 8 9 0.888888888888889 0.0189075630252101 476
"331" "90768_040_S14_L001_R1_001" "90768_057_S20_L001_R1_001" 44 65 0.676923076923077 0.136554621848739 476
"332" "90768_040_S14_L001_R1_001" "90768_061_S21_L001_R1_001" 12 14 0.857142857142857 0.0294117647058824 476
"333" "90768_040_S14_L001_R1_001" "90768_064_S22_L001_R1_001" 24 34 0.705882352941177 0.0714285714285714 476
"334" "90768_040_S14_L001_R1_001" "90768_067_S23_L001_R1_001" 44 63 0.698412698412698 0.132352941176471 476
"335" "90768_040_S14_L001_R1_001" "90768_075_S24_L001_R1_001" 99 139 0.712230215827338 0.292016806722689 476
"336" "90768_040_S14_L001_R1_001" "90768_076_S25_L001_R1_001" 60 73 0.821917808219178 0.153361344537815 476
"337" "90768_040_S14_L001_R1_001" "90768_077_S26_L001_R1_001" 13 20 0.65 0.0420168067226891 476
"338" "90768_040_S14_L001_R1_001" "90768_078_S27_L001_R1_001" 93 125 0.744 0.262605042016807 476
"339" "90768_040_S14_L001_R1_001" "90768_083_S28_L001_R1_001" 7 12 0.583333333333333 0.0252100840336134 476
"340" "90768_040_S14_L001_R1_001" "90768_084_S29_L001_R1_001" 20 28 0.714285714285714 0.0588235294117647 476
"341" "90768_040_S14_L001_R1_001" "90768_088_S30_L001_R1_001" 14 21 0.666666666666667 0.0441176470588235 476
"342" "90768_040_S14_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"343" "90768_040_S14_L001_R1_001" "90768_104_S32_L001_R1_001" 4 7 0.571428571428571 0.0147058823529412 476
"344" "90768_042_S15_L001_R1_001" "90768_044_S16_L001_R1_001" 118 162 0.728395061728395 0.340336134453782 476
"345" "90768_042_S15_L001_R1_001" "90768_054_S17_L001_R1_001" 35 49 0.714285714285714 0.102941176470588 476
"346" "90768_042_S15_L001_R1_001" "90768_055_S18_L001_R1_001" 109 151 0.721854304635762 0.317226890756303 476
"347" "90768_042_S15_L001_R1_001" "90768_056_S19_L001_R1_001" 7 10 0.7 0.0210084033613445 476
"348" "90768_042_S15_L001_R1_001" "90768_057_S20_L001_R1_001" 49 72 0.680555555555556 0.151260504201681 476
"349" "90768_042_S15_L001_R1_001" "90768_061_S21_L001_R1_001" 11 13 0.846153846153846 0.0273109243697479 476
"350" "90768_042_S15_L001_R1_001" "90768_064_S22_L001_R1_001" 25 32 0.78125 0.0672268907563025 476
"351" "90768_042_S15_L001_R1_001" "90768_067_S23_L001_R1_001" 47 66 0.712121212121212 0.138655462184874 476
"352" "90768_042_S15_L001_R1_001" "90768_075_S24_L001_R1_001" 107 145 0.737931034482759 0.304621848739496 476
"353" "90768_042_S15_L001_R1_001" "90768_076_S25_L001_R1_001" 51 69 0.739130434782609 0.144957983193277 476
"354" "90768_042_S15_L001_R1_001" "90768_077_S26_L001_R1_001" 12 19 0.631578947368421 0.0399159663865546 476
"355" "90768_042_S15_L001_R1_001" "90768_078_S27_L001_R1_001" 88 129 0.682170542635659 0.271008403361345 476
"356" "90768_042_S15_L001_R1_001" "90768_083_S28_L001_R1_001" 8 11 0.727272727272727 0.023109243697479 476
"357" "90768_042_S15_L001_R1_001" "90768_084_S29_L001_R1_001" 20 27 0.740740740740741 0.0567226890756303 476
"358" "90768_042_S15_L001_R1_001" "90768_088_S30_L001_R1_001" 12 20 0.6 0.0420168067226891 476
"359" "90768_042_S15_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"360" "90768_042_S15_L001_R1_001" "90768_104_S32_L001_R1_001" 4 6 0.666666666666667 0.0126050420168067 476
"361" "90768_044_S16_L001_R1_001" "90768_054_S17_L001_R1_001" 46 66 0.696969696969697 0.138655462184874 476
"362" "90768_044_S16_L001_R1_001" "90768_055_S18_L001_R1_001" 205 289 0.709342560553633 0.607142857142857 476
"363" "90768_044_S16_L001_R1_001" "90768_056_S19_L001_R1_001" 9 11 0.818181818181818 0.023109243697479 476
"364" "90768_044_S16_L001_R1_001" "90768_057_S20_L001_R1_001" 69 100 0.69 0.210084033613445 476
"365" "90768_044_S16_L001_R1_001" "90768_061_S21_L001_R1_001" 12 17 0.705882352941177 0.0357142857142857 476
"366" "90768_044_S16_L001_R1_001" "90768_064_S22_L001_R1_001" 29 41 0.707317073170732 0.0861344537815126 476
"367" "90768_044_S16_L001_R1_001" "90768_067_S23_L001_R1_001" 58 89 0.651685393258427 0.186974789915966 476
"368" "90768_044_S16_L001_R1_001" "90768_075_S24_L001_R1_001" 172 253 0.679841897233202 0.531512605042017 476
"369" "90768_044_S16_L001_R1_001" "90768_076_S25_L001_R1_001" 67 99 0.676767676767677 0.207983193277311 476
"370" "90768_044_S16_L001_R1_001" "90768_077_S26_L001_R1_001" 15 23 0.652173913043478 0.0483193277310924 476
"371" "90768_044_S16_L001_R1_001" "90768_078_S27_L001_R1_001" 141 205 0.68780487804878 0.430672268907563 476
"372" "90768_044_S16_L001_R1_001" "90768_083_S28_L001_R1_001" 8 12 0.666666666666667 0.0252100840336134 476
"373" "90768_044_S16_L001_R1_001" "90768_084_S29_L001_R1_001" 27 37 0.72972972972973 0.0777310924369748 476
"374" "90768_044_S16_L001_R1_001" "90768_088_S30_L001_R1_001" 10 22 0.454545454545455 0.046218487394958 476
"375" "90768_044_S16_L001_R1_001" "90768_090_S31_L001_R1_001" 0 1 0 0.00210084033613445 476
"376" "90768_044_S16_L001_R1_001" "90768_104_S32_L001_R1_001" 7 7 1 0.0147058823529412 476
"377" "90768_054_S17_L001_R1_001" "90768_055_S18_L001_R1_001" 39 61 0.639344262295082 0.128151260504202 476
