Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7769	220	191	0.87
Tpa_7772	1247	3	0.00
Tpa_7798	18666	2598	0.14
Tpa_7799	1078	652	0.60
Tpa_7805	466	458	0.98
Tpa_7807	1665	748	0.45
Tpa_7814	2039	1460	0.72
Tpa_7825	2703	2463	0.91
Tpa_7848	316	105	0.33
Tpa_7910	1205	998	0.83
