Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
58	52508_070_S154_L001_R1_001	38278	2005	32229	4044	0.05	0.84	0.11	0.196	0.034	0.235
59	52508_078_S155_L001_R1_001	104710	5200	88903	10607	0.05	0.85	0.1	0.268	0.036	0.056
60	52508_079_S156_L001_R1_001	41355	1727	28737	10891	0.04	0.69	0.26	0.394	0.042	0.048
61	52508_086_S157_L001_R1_001	69742	3543	63141	3058	0.05	0.91	0.04	0.072	0.006	0
62	52508_087_S158_L001_R1_001	37763	1871	30711	5181	0.05	0.81	0.14	0.248	0.042	0.095
63	52508_088_S159_L001_R1_001	60410	2511	41111	16788	0.04	0.68	0.28	0.39	0.074	0.081
64	52508_090_S160_L001_R1_001	38732	1799	28590	8343	0.05	0.74	0.22	0.316	0.05	0.12
65	52508_091_S161_L001_R1_001	46550	2263	43144	1143	0.05	0.93	0.02	0.034	0.004	0.5
66	52508_101_S162_L001_R1_001	67132	3412	60927	2793	0.05	0.91	0.04	0.066	0.006	0
67	52508_105_S163_L001_R1_001	46532	2328	33967	10237	0.05	0.73	0.22	0.368	0.062	0.161
68	52508_106_S164_L001_R1_001	45553	2282	36041	7230	0.05	0.79	0.16	0.314	0.054	0.111
69	52508_111_S165_L001_R1_001	61933	3167	55033	3733	0.05	0.89	0.06	0.104	0.016	0
70	52508_114_S166_L001_R1_001	65858	3455	60473	1930	0.05	0.92	0.03	0.05	0.01	0.2
71	52508_115_S167_L001_R1_001	61960	3300	53748	4912	0.05	0.87	0.08	0.186	0.024	0.083
72	52508_117_S168_L001_R1_001	29221	1449	26855	917	0.05	0.92	0.03	0.028	0.002	1
73	52508_119_S169_L001_R1_001	56731	2820	46612	7299	0.05	0.82	0.13	0.286	0.054	0.037
74	52508_127_S170_L001_R1_001	42783	1698	27424	13661	0.04	0.64	0.32	0.44	0.076	0.053
75	52508_129_S171_L001_R1_001	39929	1934	34147	3848	0.05	0.86	0.1	0.164	0.024	0.083
76	52508_131_S172_L001_R1_001	51917	2808	41905	7204	0.05	0.81	0.14	0.294	0.05	0.12
77	52508_134_S173_L001_R1_001	48042	2584	41271	4187	0.05	0.86	0.09	0.196	0.024	0
78	52508_135_S174_L001_R1_001	35716	1790	32873	1053	0.05	0.92	0.03	0.034	0.006	0.333
79	52508_139_S175_L001_R1_001	42924	2239	35903	4782	0.05	0.84	0.11	0.242	0.03	0
80	52508_143_S176_L001_R1_001	36631	1749	29186	5696	0.05	0.8	0.16	0.3	0.054	0.111
81	52508_145_S177_L001_R1_001	187336	9569	126169	51598	0.05	0.67	0.28	0.646	0.106	0.226
82	52508_149_S178_L001_R1_001	17563	762	11573	5228	0.04	0.66	0.3	0.32	0.05	0.04
83	52508_156_S179_L001_R1_001	66122	3593	50006	12523	0.05	0.76	0.19	0.4	0.076	0.105
84	52508_157_S180_L001_R1_001	194102	9442	149556	35104	0.05	0.77	0.18	0.436	0.052	0.192
85	52508_158_S181_L001_R1_001	71327	3633	60740	6954	0.05	0.85	0.1	0.212	0.03	0.2
86	52508_167_S182_L001_R1_001	57341	2612	51882	2847	0.05	0.9	0.05	0.022	0.002	0
87	52508_168_S183_L001_R1_001	48727	2384	44956	1387	0.05	0.92	0.03	0.052	0.01	0.2
88	52508_173_S184_L001_R1_001	64079	3670	60386	23	0.06	0.94	0	0	0	NA
89	52508_174_S185_L001_R1_001	49225	2190	35163	11872	0.04	0.71	0.24	0.374	0.048	0.25
90	52508_176_S186_L001_R1_001	40378	2101	30971	7306	0.05	0.77	0.18	0.302	0.042	0.095
91	52508_179_S187_L001_R1_001	59969	3047	52167	4755	0.05	0.87	0.08	0.202	0.026	0.231
92	52508_182_S188_L001_R1_001	121011	6076	106130	8805	0.05	0.88	0.07	0.2	0.042	0.095
93	52508_183_S189_L001_R1_001	45604	2382	35184	8038	0.05	0.77	0.18	0.32	0.056	0.107
94	52508_189_S190_L001_R1_001	73839	3965	56526	13348	0.05	0.77	0.18	0.396	0.056	0.143
95	52508_201_S191_L001_R1_001	95351	4859	87033	3459	0.05	0.91	0.04	0.072	0.01	0.6
