Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate.x	Heterozygosity.x	conScore.x	GenotypeRate.y	Heterozygosity.y	conScore.y
44	CAT_52507_431_S15_L001_R1_001	130908	25412	85731	19765	0.19	0.65	0.15	0.726	0.1	0.14	0.726	0.1	0.14
45	CAT_52507_440_S112_L001_R1_001	34787	1828	27386	5573	0.05	0.79	0.16	0.238	0.042	0.048	0.238	0.042	0.048
46	CAT_52507_440_S16_L001_R1_001	130286	25198	93685	11403	0.19	0.72	0.09	0.654	0.088	0.023	0.654	0.088	0.023
47	CAT_52507_442_S113_L001_R1_001	78737	3890	62551	12296	0.05	0.79	0.16	0.328	0.044	0.091	0.328	0.044	0.091
48	CAT_52507_442_S17_L001_R1_001	186399	32199	122244	31956	0.17	0.66	0.17	0.754	0.096	0.083	0.754	0.096	0.083
49	CAT_52507_445_S114_L001_R1_001	63271	3124	47094	13053	0.05	0.74	0.21	0.396	0.064	0.188	0.396	0.064	0.188
50	CAT_52507_445_S18_L001_R1_001	114301	18645	57425	38231	0.16	0.5	0.33	0.788	0.108	0.13	0.788	0.108	0.13
51	CAT_52507_465_S115_L001_R1_001	109558	5181	77214	27163	0.05	0.7	0.25	0.426	0.076	0.158	0.426	0.076	0.158
52	CAT_52507_465_S19_L001_R1_001	179719	30607	89301	59811	0.17	0.5	0.33	0.736	0.128	0.172	0.736	0.128	0.172
53	CAT_52507_467_S116_L001_R1_001	96696	4558	76294	15844	0.05	0.79	0.16	0.376	0.056	0.143	0.376	0.056	0.143
54	CAT_52507_467_S20_L001_R1_001	156460	26701	94930	34829	0.17	0.61	0.22	0.704	0.104	0.135	0.704	0.104	0.135
55	CAT_52507_472_S117_L001_R1_001	81425	4437	70117	6871	0.05	0.86	0.08	0.19	0.04	0.1	0.19	0.04	0.1
56	CAT_52507_472_S21_L001_R1_001	128384	32855	90102	5427	0.26	0.7	0.04	0.416	0.074	0.054	0.416	0.074	0.054
57	CAT_52507_473_S118_L001_R1_001	82581	3904	60701	17976	0.05	0.74	0.22	0.4	0.056	0.107	0.4	0.056	0.107
58	CAT_52507_473_S22_L001_R1_001	215928	31890	111893	72145	0.15	0.52	0.33	0.734	0.104	0.173	0.734	0.104	0.173
