Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
CAT_52507_485_S122_L001_R1_001	116295	 6317	 84836	25142	0.05	0.73	0.22	0.508	0.072	0.139
CAT_52508_002_S130_L001_R1_001	 66529	 3476	 54395	 8658	0.05	0.82	0.13	0.300	0.042	0.000
CAT_52508_002_S34_L001_R1_001	118306	30461	 78785	 9060	0.26	0.67	0.08	0.602	0.110	0.000
CAT_52508_004_S131_L001_R1_001	136444	 7095	122259	 7090	0.05	0.90	0.05	0.148	0.028	0.143
CAT_52508_004_S35_L001_R1_001	171462	32696	134619	 4147	0.19	0.79	0.02	0.172	0.036	0.056
CAT_52508_011_S132_L001_R1_001	 43508	 1561	 21772	20175	0.04	0.50	0.46	0.512	0.062	0.129
CAT_52508_014_S133_L001_R1_001	 70427	 3699	 62787	 3941	0.05	0.89	0.06	0.156	0.016	0.000
CAT_52508_014_S37_L001_R1_001	105176	26033	 76298	 2845	0.25	0.73	0.03	0.270	0.038	0.053
CAT_52508_017_S134_L001_R1_001	 56889	 1953	 32760	22176	0.03	0.58	0.39	0.450	0.060	0.167
CAT_52508_019_S135_L001_R1_001	 85957	 4169	 75060	 6728	0.05	0.87	0.08	0.186	0.032	0.188
CAT_52508_019_S39_L001_R1_001	110536	24566	 81298	 4672	0.22	0.74	0.04	0.338	0.058	0.103
CAT_52508_022_S136_L001_R1_001	 76527	 3814	 69620	 3093	0.05	0.91	0.04	0.064	0.016	0.000
CAT_52508_022_S40_L001_R1_001	123863	27881	 94027	 1955	0.23	0.76	0.02	0.158	0.028	0.000
CAT_52508_024_S137_L001_R1_001	 80702	 4120	 69995	 6587	0.05	0.87	0.08	0.168	0.026	0.077
CAT_52508_024_S41_L001_R1_001	108536	22308	 82549	 3679	0.21	0.76	0.03	0.254	0.038	0.053
CAT_52508_025_S138_L001_R1_001	 60337	 3150	 49274	 7913	0.05	0.82	0.13	0.278	0.052	0.154
CAT_52508_025_S42_L001_R1_001	102265	21331	 76686	 4248	0.21	0.75	0.04	0.282	0.050	0.040
