Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7058	5091	209	0.04
Tpa_7062	288	164	0.57
Tpa_7080	104	81	0.78
Tpa_7082	2	2	1.00
Tpa_7090	934	507	0.54
Tpa_7153	38	26	0.68
Tpa_7157	720	16	0.02
Tpa_7201	12918	690	0.05
Tpa_7204	1294	43	0.03
Tpa_7210	5568	10	0.00
Tpa_7213	3446	1456	0.42
Tpa_7221	12088	65	0.01
Tpa_7240	12354	683	0.06
Tpa_7289	13011	6	0.00
Tpa_7291	36554	17	0.00
Tpa_7293	5	1	0.20
Tpa_7331	17290	1	0.00
Tpa_7348	48591	1154	0.02
Tpa_7352	1	0	0.00
Tpa_7367	1112	773	0.70
Tpa_7375	2116	287	0.14
Tpa_7406	1	0	0.00
Tpa_7413	168	140	0.83
Tpa_7417	13	8	0.62
Tpa_7425	19745	618	0.03
Tpa_7447	6265	83	0.01
Tpa_7450	1412	0	0.00
Tpa_7452	8337	2693	0.32
Tpa_7454	2195	2	0.00
Tpa_7461	5893	18	0.00
Tpa_7477	279	173	0.62
Tpa_7479	2150	405	0.19
Tpa_7483	1502	178	0.12
Tpa_7495	2694	2081	0.77
Tpa_7533	2260	2060	0.91
Tpa_7540	1444	5	0.00
Tpa_7553	626	490	0.78
Tpa_7560	1574	177	0.11
Tpa_7566	708	676	0.95
Tpa_7567	9901	6074	0.61
Tpa_7571	1992	985	0.49
Tpa_7586	1749	970	0.55
Tpa_7594	41815	15333	0.37
Tpa_7597	9407	9102	0.97
Tpa_7601	55127	1	0.00
Tpa_7604	32590	7789	0.24
Tpa_7605	25600	13	0.00
Tpa_7615	46	23	0.50
Tpa_7652	28736	13332	0.46
Tpa_7653	15362	12124	0.79
Tpa_7657	1629	81	0.05
Tpa_7665	5	0	0.00
Tpa_7686	5855	4541	0.78
Tpa_7690	1596	1383	0.87
Tpa_7691	3863	194	0.05
Tpa_7703	36885	2599	0.07
Tpa_7757	6778	1	0.00
Tpa_7764	12837	327	0.03
Tpa_7765	22859	89	0.00
Tpa_7769	3	1	0.33
Tpa_7772	33	0	0.00
Tpa_7798	506	120	0.24
Tpa_7799	1500	32	0.02
Tpa_7805	139	46	0.33
Tpa_7807	9505	20	0.00
Tpa_7814	5240	64	0.01
Tpa_7825	1014	968	0.95
Tpa_7848	5936	251	0.04
Tpa_7910	6775	153	0.02
