Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7375	553	307	0.56
Tpa_7406	161	0	0.00
Tpa_7413	288	274	0.95
Tpa_7417	198	186	0.94
Tpa_7425	435	281	0.65
Tpa_7447	48	5	0.10
Tpa_7450	3179	0	0.00
Tpa_7452	956	171	0.18
Tpa_7454	461	282	0.61
Tpa_7461	2671	247	0.09
Tpa_7477	242	237	0.98
Tpa_7479	1144	1056	0.92
Tpa_7483	847	795	0.94
Tpa_7495	157	118	0.75
Tpa_7533	477	459	0.96
Tpa_7540	332	295	0.89
Tpa_7553	931	775	0.83
Tpa_7560	488	353	0.72
Tpa_7566	2217	2182	0.98
Tpa_7567	1018	303	0.30
Tpa_7571	5724	765	0.13
Tpa_7586	2576	2508	0.97
Tpa_7594	2541	2382	0.94
Tpa_7597	1494	1464	0.98
Tpa_7601	337	0	0.00
Tpa_7604	1327	501	0.38
Tpa_7605	1251	721	0.58
Tpa_7615	277	255	0.92
Tpa_7652	677	565	0.83
Tpa_7653	2490	800	0.32
Tpa_7657	918	885	0.96
Tpa_7665	17	0	0.00
Tpa_7686	2503	2398	0.96
Tpa_7690	3037	2129	0.70
Tpa_7691	477	109	0.23
Tpa_7703	35627	774	0.02
Tpa_7757	265	3	0.01
Tpa_7764	1053	538	0.51
Tpa_7765	727	43	0.06
Tpa_7769	128	104	0.81
Tpa_7772	292	2	0.01
Tpa_7798	6609	489	0.07
Tpa_7799	142	75	0.53
Tpa_7805	81	72	0.89
Tpa_7807	509	213	0.42
Tpa_7814	536	425	0.79
Tpa_7825	832	498	0.60
Tpa_7848	195	11	0.06
Tpa_7910	252	179	0.71
