"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"420" "90768_057C_S84_L001_R1_001" "90768_064C_S86_L001_R1_001" 82 102 0.803921568627451 0.214285714285714 476
"421" "90768_057C_S84_L001_R1_001" "90768_067C_S87_L001_R1_001" 46 65 0.707692307692308 0.136554621848739 476
"422" "90768_057C_S84_L001_R1_001" "90768_075C_S88_L001_R1_001" 12 26 0.461538461538462 0.0546218487394958 476
"423" "90768_057C_S84_L001_R1_001" "90768_076C_S89_L001_R1_001" 33 46 0.717391304347826 0.0966386554621849 476
"424" "90768_057C_S84_L001_R1_001" "90768_077C_S90_L001_R1_001" 39 54 0.722222222222222 0.113445378151261 476
"425" "90768_057C_S84_L001_R1_001" "90768_078C_S91_L001_R1_001" 101 133 0.759398496240602 0.279411764705882 476
"426" "90768_057C_S84_L001_R1_001" "90768_083C_S92_L001_R1_001" 45 55 0.818181818181818 0.115546218487395 476
"427" "90768_057C_S84_L001_R1_001" "90768_084C_S93_L001_R1_001" 66 88 0.75 0.184873949579832 476
"428" "90768_057C_S84_L001_R1_001" "90768_088C_S94_L001_R1_001" 48 65 0.738461538461539 0.136554621848739 476
"429" "90768_057C_S84_L001_R1_001" "90768_090C_S95_L001_R1_001" 15 18 0.833333333333333 0.0378151260504202 476
"430" "90768_057C_S84_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"431" "90768_061C_S85_L001_R1_001" "90768_064C_S86_L001_R1_001" 16 23 0.695652173913043 0.0483193277310924 476
"432" "90768_061C_S85_L001_R1_001" "90768_067C_S87_L001_R1_001" 14 22 0.636363636363636 0.046218487394958 476
"433" "90768_061C_S85_L001_R1_001" "90768_075C_S88_L001_R1_001" 11 14 0.785714285714286 0.0294117647058824 476
"434" "90768_061C_S85_L001_R1_001" "90768_076C_S89_L001_R1_001" 16 21 0.761904761904762 0.0441176470588235 476
"435" "90768_061C_S85_L001_R1_001" "90768_077C_S90_L001_R1_001" 14 24 0.583333333333333 0.0504201680672269 476
"436" "90768_061C_S85_L001_R1_001" "90768_078C_S91_L001_R1_001" 19 27 0.703703703703704 0.0567226890756303 476
"437" "90768_061C_S85_L001_R1_001" "90768_083C_S92_L001_R1_001" 13 21 0.619047619047619 0.0441176470588235 476
"438" "90768_061C_S85_L001_R1_001" "90768_084C_S93_L001_R1_001" 19 26 0.730769230769231 0.0546218487394958 476
"439" "90768_061C_S85_L001_R1_001" "90768_088C_S94_L001_R1_001" 20 23 0.869565217391304 0.0483193277310924 476
"440" "90768_061C_S85_L001_R1_001" "90768_090C_S95_L001_R1_001" 7 12 0.583333333333333 0.0252100840336134 476
"441" "90768_061C_S85_L001_R1_001" "90768_104C_S96_L001_R1_001" 1 2 0.5 0.00420168067226891 476
"442" "90768_064C_S86_L001_R1_001" "90768_067C_S87_L001_R1_001" 54 68 0.794117647058823 0.142857142857143 476
"443" "90768_064C_S86_L001_R1_001" "90768_075C_S88_L001_R1_001" 15 20 0.75 0.0420168067226891 476
"444" "90768_064C_S86_L001_R1_001" "90768_076C_S89_L001_R1_001" 36 43 0.837209302325581 0.0903361344537815 476
"445" "90768_064C_S86_L001_R1_001" "90768_077C_S90_L001_R1_001" 40 51 0.784313725490196 0.107142857142857 476
"446" "90768_064C_S86_L001_R1_001" "90768_078C_S91_L001_R1_001" 94 111 0.846846846846847 0.233193277310924 476
"447" "90768_064C_S86_L001_R1_001" "90768_083C_S92_L001_R1_001" 42 50 0.84 0.105042016806723 476
"448" "90768_064C_S86_L001_R1_001" "90768_084C_S93_L001_R1_001" 65 80 0.8125 0.168067226890756 476
"449" "90768_064C_S86_L001_R1_001" "90768_088C_S94_L001_R1_001" 49 62 0.790322580645161 0.130252100840336 476
"450" "90768_064C_S86_L001_R1_001" "90768_090C_S95_L001_R1_001" 12 17 0.705882352941177 0.0357142857142857 476
"451" "90768_064C_S86_L001_R1_001" "90768_104C_S96_L001_R1_001" 0 2 0 0.00420168067226891 476
"452" "90768_067C_S87_L001_R1_001" "90768_075C_S88_L001_R1_001" 15 20 0.75 0.0420168067226891 476
"453" "90768_067C_S87_L001_R1_001" "90768_076C_S89_L001_R1_001" 26 34 0.764705882352941 0.0714285714285714 476
"454" "90768_067C_S87_L001_R1_001" "90768_077C_S90_L001_R1_001" 34 44 0.772727272727273 0.092436974789916 476
"455" "90768_067C_S87_L001_R1_001" "90768_078C_S91_L001_R1_001" 52 70 0.742857142857143 0.147058823529412 476
"456" "90768_067C_S87_L001_R1_001" "90768_083C_S92_L001_R1_001" 32 41 0.780487804878049 0.0861344537815126 476
"457" "90768_067C_S87_L001_R1_001" "90768_084C_S93_L001_R1_001" 50 60 0.833333333333333 0.126050420168067 476
"458" "90768_067C_S87_L001_R1_001" "90768_088C_S94_L001_R1_001" 37 49 0.755102040816326 0.102941176470588 476
"459" "90768_067C_S87_L001_R1_001" "90768_090C_S95_L001_R1_001" 12 17 0.705882352941177 0.0357142857142857 476
"460" "90768_067C_S87_L001_R1_001" "90768_104C_S96_L001_R1_001" 0 2 0 0.00420168067226891 476
"461" "90768_075C_S88_L001_R1_001" "90768_076C_S89_L001_R1_001" 14 21 0.666666666666667 0.0441176470588235 476
