Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7450	2419	0	0.00
Tpa_7452	1091	272	0.25
Tpa_7454	420	263	0.63
Tpa_7461	1706	421	0.25
Tpa_7477	475	463	0.97
Tpa_7479	1217	1157	0.95
Tpa_7483	1344	1293	0.96
Tpa_7495	189	158	0.84
Tpa_7533	690	674	0.98
Tpa_7540	388	374	0.96
Tpa_7553	1017	883	0.87
Tpa_7560	476	424	0.89
Tpa_7566	2357	2324	0.99
Tpa_7567	956	342	0.36
Tpa_7571	6049	1111	0.18
Tpa_7586	3198	3138	0.98
Tpa_7594	5079	4864	0.96
Tpa_7597	2138	2103	0.98
Tpa_7601	319	0	0.00
Tpa_7604	2181	928	0.43
Tpa_7605	1166	896	0.77
Tpa_7615	368	350	0.95
Tpa_7652	1206	1085	0.90
Tpa_7653	2777	1366	0.49
Tpa_7657	1082	1057	0.98
Tpa_7665	22	1	0.05
Tpa_7686	3303	3204	0.97
Tpa_7690	3606	2853	0.79
Tpa_7691	394	138	0.35
Tpa_7703	12034	1343	0.11
Tpa_7757	206	0	0.00
Tpa_7764	791	613	0.77
Tpa_7765	806	105	0.13
Tpa_7769	121	100	0.83
Tpa_7772	203	0	0.00
Tpa_7798	6685	738	0.11
Tpa_7799	224	161	0.72
Tpa_7805	124	116	0.94
Tpa_7807	385	246	0.64
Tpa_7814	587	485	0.83
Tpa_7825	913	593	0.65
Tpa_7848	188	17	0.09
Tpa_7910	292	238	0.82
