Sample	Total.Reads	Off.target.Reads	Primer.Only.Reads	Primer.Probe.Reads	Off.target.Proportion	Primer.Only.Proportion	Primer.Probe.Proportion	GenotypeRate	Heterozygosity	conScore
51	52508_047_S51_L001_R1_001	103567	33715	67518	2334	0.33	0.65	0.02	0.406	0.064	0
52	52508_052_S52_L001_R1_001	151513	30672	97259	23582	0.2	0.64	0.16	0.79	0.13	0.046
53	52508_056_S53_L001_R1_001	94188	22476	69134	2578	0.24	0.73	0.03	0.374	0.046	0.043
54	52508_062_S54_L001_R1_001	79166	26230	50582	2354	0.33	0.64	0.03	0.412	0.064	0
55	52508_064_S55_L001_R1_001	80198	25844	52994	1360	0.32	0.66	0.02	0.248	0.042	0
56	52508_065_S56_L001_R1_001	101397	23577	65591	12229	0.23	0.65	0.12	0.746	0.108	0.093
57	52508_069_S57_L001_R1_001	122083	29633	70039	22411	0.24	0.57	0.18	0.79	0.122	0.066
58	52508_070_S58_L001_R1_001	71862	26659	41740	3463	0.37	0.58	0.05	0.52	0.098	0
59	52508_078_S59_L001_R1_001	100132	30387	64856	4889	0.3	0.65	0.05	0.568	0.08	0
60	52508_079_S60_L001_R1_001	242328	31668	107403	103257	0.13	0.44	0.43	0.842	0.1	0.16
61	52508_086_S61_L001_R1_001	88575	28411	59475	689	0.32	0.67	0.01	0.116	0.018	0
62	52508_087_S62_L001_R1_001	81031	23540	50057	7434	0.29	0.62	0.09	0.598	0.104	0.058
63	52508_088_S63_L001_R1_001	196990	27327	50029	119634	0.14	0.25	0.61	0.808	0.136	0.235
64	52508_090_S64_L001_R1_001	118028	24789	58442	34797	0.21	0.5	0.29	0.786	0.132	0.136
65	52508_091_S65_L001_R1_001	138956	34876	102042	2038	0.25	0.73	0.01	0.302	0.056	0.107
66	52508_101_S66_L001_R1_001	74400	23890	49554	956	0.32	0.67	0.01	0.206	0.032	0
67	52508_105_S67_L001_R1_001	95446	23474	44798	27174	0.25	0.47	0.28	0.782	0.11	0.091
68	52508_106_S68_L001_R1_001	83289	25153	45362	12774	0.3	0.54	0.15	0.75	0.114	0.053
69	52508_111_S69_L001_R1_001	59541	21288	37557	696	0.36	0.63	0.01	0.15	0.022	0
70	52508_114_S70_L001_R1_001	98700	31027	67228	445	0.31	0.68	0	0.092	0.022	0
71	52508_115_S71_L001_R1_001	79713	25583	51793	2337	0.32	0.65	0.03	0.404	0.068	0
72	52508_117_S72_L001_R1_001	121005	30028	90310	667	0.25	0.75	0.01	0.122	0.018	0.111
73	52508_119_S73_L001_R1_001	104361	25081	68232	11048	0.24	0.65	0.11	0.71	0.114	0.018
74	52508_127_S74_L001_R1_001	448067	38790	66336	342941	0.09	0.15	0.77	0.852	0.122	0.295
75	52508_129_S75_L001_R1_001	129484	35762	88410	5312	0.28	0.68	0.04	0.486	0.08	0.025
76	52508_131_S76_L001_R1_001	115789	26219	84522	5048	0.23	0.73	0.04	0.54	0.084	0
77	52508_134_S77_L001_R1_001	70613	21149	47705	1759	0.3	0.68	0.02	0.292	0.046	0
78	52508_135_S78_L001_R1_001	62236	20918	41057	261	0.34	0.66	0	0.056	0.018	0
