Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_7058	2633	2252	0.86
Tpa_7062	2521	1709	0.68
Tpa_7080	2562	2433	0.95
Tpa_7082	1463	1409	0.96
Tpa_7090	2317	2170	0.94
Tpa_7153	309	203	0.66
Tpa_7157	1390	1307	0.94
Tpa_7201	10712	6334	0.59
Tpa_7204	2383	1601	0.67
Tpa_7210	25267	1731	0.07
Tpa_7213	9794	6819	0.70
Tpa_7221	1502	1326	0.88
Tpa_7240	3497	977	0.28
Tpa_7289	1191	1128	0.95
Tpa_7291	98792	1177	0.01
Tpa_7293	23874	680	0.03
Tpa_7331	97	19	0.20
Tpa_7348	530543	1371	0.00
Tpa_7352	2679	21	0.01
Tpa_7367	4031	3832	0.95
Tpa_7375	3795	2066	0.54
Tpa_7406	1955	19	0.01
Tpa_7413	1057	965	0.91
Tpa_7417	3852	3759	0.98
Tpa_7425	1865	1375	0.74
Tpa_7447	341	66	0.19
Tpa_7450	2255	7	0.00
Tpa_7452	5111	1884	0.37
Tpa_7454	1604	1004	0.63
Tpa_7461	40303	3180	0.08
Tpa_7477	4406	4257	0.97
Tpa_7479	7647	7222	0.94
Tpa_7483	5785	5530	0.96
Tpa_7495	1223	1016	0.83
Tpa_7533	5100	4895	0.96
Tpa_7540	2080	1870	0.90
Tpa_7553	4378	3426	0.78
Tpa_7560	2647	1722	0.65
Tpa_7566	10667	10487	0.98
Tpa_7567	4321	2278	0.53
Tpa_7571	10375	5658	0.55
Tpa_7586	20039	19660	0.98
Tpa_7594	38564	37219	0.97
Tpa_7597	7631	7497	0.98
Tpa_7601	14346	1	0.00
Tpa_7604	23208	14907	0.64
Tpa_7605	6677	4714	0.71
Tpa_7615	2318	2225	0.96
Tpa_7652	11023	10260	0.93
Tpa_7653	16933	11036	0.65
Tpa_7657	5781	5363	0.93
Tpa_7665	138	6	0.04
Tpa_7686	11840	11420	0.96
Tpa_7690	19370	15821	0.82
Tpa_7691	1914	718	0.38
Tpa_7703	257784	10179	0.04
Tpa_7757	1199	22	0.02
Tpa_7764	8008	2799	0.35
Tpa_7765	4239	1159	0.27
Tpa_7769	397	286	0.72
Tpa_7772	3412	3	0.00
Tpa_7798	51435	4278	0.08
Tpa_7799	2267	1051	0.46
Tpa_7805	1018	991	0.97
Tpa_7807	3921	1353	0.35
Tpa_7814	3917	2407	0.61
Tpa_7825	4784	4159	0.87
Tpa_7848	980	253	0.26
Tpa_7910	2015	1471	0.73
