sample	GenotypeRate	Heterozygosity	conScore
49	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_445_S114_L001_R1_001	0.336	0.054	0.074
50	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_445_S18_L001_R1_001	0.784	0.106	0.151
51	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_465_S115_L001_R1_001	0.384	0.07	0.086
52	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_465_S19_L001_R1_001	0.734	0.128	0.125
53	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_467_S116_L001_R1_001	0.326	0.052	0.115
54	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_467_S20_L001_R1_001	0.702	0.104	0.096
55	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_472_S117_L001_R1_001	0.158	0.034	0.059
56	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_472_S21_L001_R1_001	0.4	0.072	0.028
57	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_473_S118_L001_R1_001	0.34	0.054	0.074
58	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_473_S22_L001_R1_001	0.732	0.104	0.154
59	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_477_S119_L001_R1_001	0.194	0.038	0.158
60	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_477_S23_L001_R1_001	0.548	0.104	0.019
61	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_479_S120_L001_R1_001	0.3	0.046	0.043
62	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_479_S24_L001_R1_001	0.662	0.1	0.08
63	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_484_S121_L001_R1_001	0.334	0.054	0.111
64	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_484_S25_L001_R1_001	0.796	0.13	0.123
65	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_485_S122_L001_R1_001	0.446	0.062	0.065
66	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52507_485_S26_L001_R1_001	0.854	0.106	0.113
67	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_002_S130_L001_R1_001	0.256	0.04	0.05
68	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_002_S34_L001_R1_001	0.596	0.114	0.053
69	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_004_S131_L001_R1_001	0.106	0.018	0.222
70	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_004_S35_L001_R1_001	0.128	0.024	0
71	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_011_S132_L001_R1_001	0.458	0.056	0.071
72	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_011_S36_L001_R1_001	0.952	0.148	0.297
73	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_014_S133_L001_R1_001	0.106	0.012	0
74	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_014_S37_L001_R1_001	0.226	0.032	0
75	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_017_S134_L001_R1_001	0.416	0.054	0.185
76	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_017_S38_L001_R1_001	0.828	0.12	0.183
77	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_019_S135_L001_R1_001	0.162	0.032	0.125
78	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_019_S39_L001_R1_001	0.31	0.05	0.04
79	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_022_S136_L001_R1_001	0.05	0.012	0
80	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_022_S40_L001_R1_001	0.144	0.024	0
81	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_024_S137_L001_R1_001	0.134	0.016	0.125
82	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_024_S41_L001_R1_001	0.184	0.032	0
83	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_025_S138_L001_R1_001	0.228	0.046	0.13
84	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_025_S42_L001_R1_001	0.15	0.042	0
85	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_027_S139_L001_R1_001	0.294	0.05	0
86	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_027_S43_L001_R1_001	0.656	0.108	0.093
87	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_031_S140_L001_R1_001	0.24	0.03	0
88	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_031_S44_L001_R1_001	0.384	0.05	0.04
89	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_033_S141_L001_R1_001	0.276	0.044	0.182
90	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_033_S45_L001_R1_001	0.594	0.106	0.057
91	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_036_S142_L001_R1_001	0.338	0.066	0.182
92	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_036_S46_L001_R1_001	0.738	0.15	0.147
93	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_039_S143_L001_R1_001	0.14	0.018	0.111
94	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_039_S47_L001_R1_001	0.258	0.04	0
95	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_040_S144_L001_R1_001	0.206	0.032	0.062
96	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_040_S48_L001_R1_001	0.46	0.068	0
97	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_043_S145_L001_R1_001	0.212	0.044	0.136
98	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_043_S49_L001_R1_001	0.64	0.114	0.053
99	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_046_S146_L001_R1_001	0.246	0.038	0.053
100	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_046_S50_L001_R1_001	0.47	0.076	0.026
101	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_047_S147_L001_R1_001	0.166	0.026	0
102	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_047_S51_L001_R1_001	0.406	0.064	0
103	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_052_S148_L001_R1_001	0.434	0.062	0.097
104	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_052_S52_L001_R1_001	0.79	0.13	0.046
105	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_056_S149_L001_R1_001	0.162	0.03	0.2
106	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_056_S53_L001_R1_001	0.374	0.046	0.043
107	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_062_S150_L001_R1_001	0.19	0.028	0
108	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_062_S54_L001_R1_001	0.412	0.064	0
109	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_064_S151_L001_R1_001	0.13	0.012	0.333
110	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_064_S55_L001_R1_001	0.248	0.042	0
111	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_065_S152_L001_R1_001	0.272	0.044	0
112	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_065_S56_L001_R1_001	0.746	0.108	0.093
113	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_069_S153_L001_R1_001	0.334	0.056	0.071
114	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_069_S57_L001_R1_001	0.79	0.122	0.066
115	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_070_S154_L001_R1_001	0.196	0.034	0.235
116	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_070_S58_L001_R1_001	0.52	0.098	0
117	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_078_S155_L001_R1_001	0.268	0.036	0.056
118	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_078_S59_L001_R1_001	0.568	0.08	0
119	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_079_S156_L001_R1_001	0.394	0.042	0.048
120	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_079_S60_L001_R1_001	0.842	0.1	0.16
121	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_086_S157_L001_R1_001	0.072	0.006	0
122	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_086_S61_L001_R1_001	0.116	0.018	0
123	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_087_S158_L001_R1_001	0.248	0.042	0.095
124	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_087_S62_L001_R1_001	0.598	0.104	0.058
125	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_088_S159_L001_R1_001	0.39	0.074	0.081
126	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_088_S63_L001_R1_001	0.808	0.136	0.235
127	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_090_S160_L001_R1_001	0.316	0.05	0.12
128	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_090_S64_L001_R1_001	0.786	0.132	0.136
129	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_091_S161_L001_R1_001	0.034	0.004	0.5
130	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_091_S65_L001_R1_001	0.302	0.056	0.107
131	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_101_S162_L001_R1_001	0.066	0.006	0
132	E:\eulachon\eulachon_troubleshooting\EulachonGSI_060525_GTscore\52508_101_S66_L001_R1_001	0.206	0.032	0
