Locus	Primer Reads	Primer Probe Reads	Primer Probe Proportion
Tpa_5636	6508	2597	0.40
Tpa_5651	6349	5127	0.81
Tpa_5679	1916	1331	0.69
Tpa_5741	15034	618	0.04
Tpa_5747	279086	88561	0.32
Tpa_5761	13217	11414	0.86
Tpa_5774	38372	11401	0.30
Tpa_5786	4796	4582	0.96
Tpa_5795	60140	26	0.00
Tpa_5796	4184	3318	0.79
Tpa_5823	80471	49890	0.62
Tpa_5827	13332	7917	0.59
Tpa_5829	10214	9753	0.95
Tpa_5838	6128	5519	0.90
Tpa_5854	323	3	0.01
Tpa_5856	2194	1923	0.88
Tpa_5863	5665	5026	0.89
Tpa_5868	5698	3898	0.68
Tpa_5878	110983	2995	0.03
Tpa_5913	42192	37191	0.88
Tpa_5916	14938	11777	0.79
Tpa_5917	5426	3921	0.72
Tpa_5942	5518	4246	0.77
Tpa_5951	0	0	NA
Tpa_5961	1863	219	0.12
Tpa_5978	27217	911	0.03
Tpa_5980	1205	978	0.81
Tpa_6003	872177	26883	0.03
Tpa_6016	13435	503	0.04
Tpa_6076	10893	2003	0.18
Tpa_6083	5361	4925	0.92
Tpa_6137	1214	837	0.69
Tpa_6139	23523	8533	0.36
Tpa_6150	357	322	0.90
Tpa_6158	11002	3175	0.29
Tpa_6169	101081	3982	0.04
Tpa_6172	26903	2952	0.11
Tpa_6204	1637	53	0.03
Tpa_6220	0	0	NA
Tpa_6222	2079	1933	0.93
Tpa_6224	21011	15290	0.73
Tpa_6265	440	207	0.47
Tpa_6270	3524	1116	0.32
Tpa_6285	322	135	0.42
Tpa_6321	0	0	NA
Tpa_6352	155	40	0.26
Tpa_6355	75961	7022	0.09
Tpa_6384	1942	161	0.08
Tpa_6385	26791	1109	0.04
Tpa_6388	315	300	0.95
Tpa_6391	6260	3245	0.52
Tpa_6411	445	53	0.12
Tpa_6422	35267	1549	0.04
Tpa_6442	55722	29934	0.54
Tpa_6445	126	26	0.21
Tpa_6449	3088	158	0.05
Tpa_6451	2500	371	0.15
Tpa_6453	3447	2290	0.66
Tpa_6487	11482	4745	0.41
Tpa_6493	21257	2214	0.10
Tpa_6511	29237	2887	0.10
Tpa_6528	13226	648	0.05
Tpa_6543	37517	152	0.00
Tpa_6562	47886	2837	0.06
Tpa_6565	7395	6363	0.86
Tpa_6586	3369	1622	0.48
Tpa_6591	5903	5654	0.96
Tpa_6604	199	17	0.09
Tpa_6611	28	0	0.00
Tpa_6630	25608	4902	0.19
Tpa_6654	352	287	0.82
Tpa_6683	172	29	0.17
Tpa_6687	1192	717	0.60
Tpa_6689	456198	5975	0.01
Tpa_6713	35813	6164	0.17
Tpa_6733	5437	5291	0.97
Tpa_6768	27480	25401	0.92
Tpa_6773	54171	22571	0.42
Tpa_6774	6706	4609	0.69
Tpa_6786	17639	13762	0.78
Tpa_6814	9622	4502	0.47
Tpa_6816	8237	7742	0.94
Tpa_6853	123071	1235	0.01
Tpa_6887	8087	2490	0.31
Tpa_6922	122969	12988	0.11
Tpa_6937	30131	19218	0.64
Tpa_6963	23015	22328	0.97
Tpa_6973	10203	9125	0.89
Tpa_7007	895	80	0.09
Tpa_7010	27558	25185	0.91
Tpa_7018	5093	3235	0.64
Tpa_7052	63086	61908	0.98
Tpa_7058	21563	3901	0.18
Tpa_7062	4622	3844	0.83
Tpa_7080	29080	24809	0.85
Tpa_7082	1587	1551	0.98
Tpa_7090	4019	3822	0.95
Tpa_7106	170743	1534	0.01
Tpa_7153	308	270	0.88
Tpa_7157	21010	14341	0.68
Tpa_7201	65674	29879	0.45
Tpa_7204	21735	11352	0.52
Tpa_7210	47028	12619	0.27
Tpa_7213	161570	139433	0.86
Tpa_7221	32944	3342	0.10
Tpa_7240	31653	5729	0.18
Tpa_7289	58041	7887	0.14
Tpa_7291	63209	530	0.01
Tpa_7293	2803	367	0.13
Tpa_7331	159	17	0.11
Tpa_7348	70709	1999	0.03
Tpa_7352	212	16	0.08
Tpa_7367	8614	7705	0.89
Tpa_7375	49603	15508	0.31
Tpa_7391	292835	137695	0.47
Tpa_7406	195	3	0.02
Tpa_7413	379	367	0.97
Tpa_7417	10782	10516	0.98
Tpa_7425	19085	5361	0.28
Tpa_7447	2007	147	0.07
Tpa_7450	282	17	0.06
Tpa_7452	5305	2025	0.38
Tpa_7454	32023	12388	0.39
Tpa_7461	16298	2610	0.16
Tpa_7477	6713	5362	0.80
Tpa_7479	21145	18749	0.89
Tpa_7483	58385	39611	0.68
Tpa_7495	1594	1528	0.96
Tpa_7496	701078	133	0.00
Tpa_7533	10782	10161	0.94
Tpa_7540	18692	16311	0.87
Tpa_7553	16386	14541	0.89
Tpa_7560	7670	5068	0.66
Tpa_7566	124225	121241	0.98
Tpa_7567	7334	1587	0.22
Tpa_7571	15367	8518	0.55
Tpa_7586	106721	100568	0.94
Tpa_7594	2416	2287	0.95
Tpa_7597	58358	57105	0.98
Tpa_7601	9786	0	0.00
Tpa_7604	12387	3028	0.24
Tpa_7605	73639	12110	0.16
Tpa_7615	15245	14598	0.96
Tpa_7652	567	527	0.93
Tpa_7653	1468	1162	0.79
Tpa_7657	8665	8086	0.93
Tpa_7665	44	23	0.52
Tpa_7686	176498	169612	0.96
