"Sample1" "Sample2" "matchedGenotypes" "commonGenotypes" "proportionMatch" "proportionCommon" "totalLoci"
"336" "90768_040A_S14_L001_R1_001" "90768_076A_S25_L001_R1_001" 56 78 0.717948717948718 0.163865546218487 476
"337" "90768_040A_S14_L001_R1_001" "90768_077A_S26_L001_R1_001" 27 43 0.627906976744186 0.0903361344537815 476
"338" "90768_040A_S14_L001_R1_001" "90768_078A_S27_L001_R1_001" 77 105 0.733333333333333 0.220588235294118 476
"339" "90768_040A_S14_L001_R1_001" "90768_083A_S28_L001_R1_001" 21 29 0.724137931034483 0.0609243697478992 476
"340" "90768_040A_S14_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"341" "90768_040A_S14_L001_R1_001" "90768_088A_S30_L001_R1_001" 10 14 0.714285714285714 0.0294117647058824 476
"342" "90768_040A_S14_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"343" "90768_040A_S14_L001_R1_001" "90768_104A_S32_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"344" "90768_042A_S15_L001_R1_001" "90768_044A_S16_L001_R1_001" 96 130 0.738461538461539 0.273109243697479 476
"345" "90768_042A_S15_L001_R1_001" "90768_054A_S17_L001_R1_001" 26 42 0.619047619047619 0.0882352941176471 476
"346" "90768_042A_S15_L001_R1_001" "90768_055A_S18_L001_R1_001" 107 140 0.764285714285714 0.294117647058824 476
"347" "90768_042A_S15_L001_R1_001" "90768_056A_S19_L001_R1_001" 48 69 0.695652173913043 0.144957983193277 476
"348" "90768_042A_S15_L001_R1_001" "90768_057A_S20_L001_R1_001" 95 131 0.725190839694656 0.275210084033613 476
"349" "90768_042A_S15_L001_R1_001" "90768_061A_S21_L001_R1_001" 40 49 0.816326530612245 0.102941176470588 476
"350" "90768_042A_S15_L001_R1_001" "90768_064A_S22_L001_R1_001" 67 85 0.788235294117647 0.178571428571429 476
"351" "90768_042A_S15_L001_R1_001" "90768_067A_S23_L001_R1_001" 92 121 0.760330578512397 0.254201680672269 476
"352" "90768_042A_S15_L001_R1_001" "90768_075A_S24_L001_R1_001" 106 139 0.762589928057554 0.292016806722689 476
"353" "90768_042A_S15_L001_R1_001" "90768_076A_S25_L001_R1_001" 67 86 0.779069767441861 0.180672268907563 476
"354" "90768_042A_S15_L001_R1_001" "90768_077A_S26_L001_R1_001" 29 43 0.674418604651163 0.0903361344537815 476
"355" "90768_042A_S15_L001_R1_001" "90768_078A_S27_L001_R1_001" 83 114 0.728070175438597 0.239495798319328 476
"356" "90768_042A_S15_L001_R1_001" "90768_083A_S28_L001_R1_001" 19 31 0.612903225806452 0.0651260504201681 476
"357" "90768_042A_S15_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"358" "90768_042A_S15_L001_R1_001" "90768_088A_S30_L001_R1_001" 10 15 0.666666666666667 0.0315126050420168 476
"359" "90768_042A_S15_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"360" "90768_042A_S15_L001_R1_001" "90768_104A_S32_L001_R1_001" 4 7 0.571428571428571 0.0147058823529412 476
"361" "90768_044A_S16_L001_R1_001" "90768_054A_S17_L001_R1_001" 28 41 0.682926829268293 0.0861344537815126 476
"362" "90768_044A_S16_L001_R1_001" "90768_055A_S18_L001_R1_001" 133 181 0.734806629834254 0.380252100840336 476
"363" "90768_044A_S16_L001_R1_001" "90768_056A_S19_L001_R1_001" 50 72 0.694444444444444 0.151260504201681 476
"364" "90768_044A_S16_L001_R1_001" "90768_057A_S20_L001_R1_001" 105 157 0.668789808917197 0.329831932773109 476
"365" "90768_044A_S16_L001_R1_001" "90768_061A_S21_L001_R1_001" 35 48 0.729166666666667 0.100840336134454 476
"366" "90768_044A_S16_L001_R1_001" "90768_064A_S22_L001_R1_001" 65 89 0.730337078651685 0.186974789915966 476
"367" "90768_044A_S16_L001_R1_001" "90768_067A_S23_L001_R1_001" 105 140 0.75 0.294117647058824 476
"368" "90768_044A_S16_L001_R1_001" "90768_075A_S24_L001_R1_001" 129 174 0.741379310344828 0.365546218487395 476
"369" "90768_044A_S16_L001_R1_001" "90768_076A_S25_L001_R1_001" 63 85 0.741176470588235 0.178571428571429 476
"370" "90768_044A_S16_L001_R1_001" "90768_077A_S26_L001_R1_001" 27 44 0.613636363636364 0.092436974789916 476
"371" "90768_044A_S16_L001_R1_001" "90768_078A_S27_L001_R1_001" 96 136 0.705882352941177 0.285714285714286 476
"372" "90768_044A_S16_L001_R1_001" "90768_083A_S28_L001_R1_001" 25 31 0.806451612903226 0.0651260504201681 476
"373" "90768_044A_S16_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"374" "90768_044A_S16_L001_R1_001" "90768_088A_S30_L001_R1_001" 9 14 0.642857142857143 0.0294117647058824 476
"375" "90768_044A_S16_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
"376" "90768_044A_S16_L001_R1_001" "90768_104A_S32_L001_R1_001" 5 7 0.714285714285714 0.0147058823529412 476
"377" "90768_054A_S17_L001_R1_001" "90768_055A_S18_L001_R1_001" 27 42 0.642857142857143 0.0882352941176471 476
"378" "90768_054A_S17_L001_R1_001" "90768_056A_S19_L001_R1_001" 26 39 0.666666666666667 0.0819327731092437 476
"379" "90768_054A_S17_L001_R1_001" "90768_057A_S20_L001_R1_001" 29 41 0.707317073170732 0.0861344537815126 476
"380" "90768_054A_S17_L001_R1_001" "90768_061A_S21_L001_R1_001" 24 31 0.774193548387097 0.0651260504201681 476
"381" "90768_054A_S17_L001_R1_001" "90768_064A_S22_L001_R1_001" 27 36 0.75 0.0756302521008403 476
"382" "90768_054A_S17_L001_R1_001" "90768_067A_S23_L001_R1_001" 27 42 0.642857142857143 0.0882352941176471 476
"383" "90768_054A_S17_L001_R1_001" "90768_075A_S24_L001_R1_001" 30 43 0.697674418604651 0.0903361344537815 476
"384" "90768_054A_S17_L001_R1_001" "90768_076A_S25_L001_R1_001" 24 38 0.631578947368421 0.0798319327731092 476
"385" "90768_054A_S17_L001_R1_001" "90768_077A_S26_L001_R1_001" 22 30 0.733333333333333 0.0630252100840336 476
"386" "90768_054A_S17_L001_R1_001" "90768_078A_S27_L001_R1_001" 31 42 0.738095238095238 0.0882352941176471 476
"387" "90768_054A_S17_L001_R1_001" "90768_083A_S28_L001_R1_001" 15 21 0.714285714285714 0.0441176470588235 476
"388" "90768_054A_S17_L001_R1_001" "90768_084A_S29_L001_R1_001" 0 0 NA 0 476
"389" "90768_054A_S17_L001_R1_001" "90768_088A_S30_L001_R1_001" 11 14 0.785714285714286 0.0294117647058824 476
"390" "90768_054A_S17_L001_R1_001" "90768_090A_S31_L001_R1_001" 0 0 NA 0 476
